codigo;descricao;porte;ch;co
82000069;Amputação radicular sem obturação retrógrada  ;;;
82000050;Amputação radicular com obturação retrógrada  ;;;
82000034;Alveoloplastia;;;
82000026;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;;;
81000570;Técnica de localização radiográfica;;;
81000561;Radiografia lateral corpo da mandíbula;;;
81000553;Documentação odontológica em mídia digital;;;
81000545;Diagnóstico e tratamento de trismo;;;
81000537;Traçado Cefalométrico;;;
81000529;Tomografia convencional - linear ou multi-direcional ;;;
81000510;Tomografia computadorizada por feixe cônico - cone beam ;;;
81000480;Telerradiografia com traçado cefalométrico;;;
81000472;Telerradiografia ;;;
81000456;Slide;;;
81000430;Radiografia póstero-anterior ;;;
81000421;Radiografia periapical ;;;
81000413;Radiografia panorâmica de mandíbula/maxila (ortopantomografia) com traçado para implantes;;;
81000405;Radiografia panorâmica de mandíbula/maxila (ortopantomografia)  ;;;
81000375;Radiografia interproximal - bite-wing;;;
81000367;Radiografia da mão e punho - carpal ;;;
81000340;Radiografia da ATM ;;;
81000324;Radiografia antero-posterior;;;
81000308;Modelos ortodônticos;;;
81000294;Levantamento Radiográfico (Exame Radiodôntico);;;
81000278;Fotografia ;;;
81000260;Diagnóstico por meio de procedimentos laboratoriais ;;;
81000243;Diagnóstico por meio de enceramento ;;;
81000235;Diagnóstico e tratamento de xerostomia;;;
81000219;Diagnóstico e tratamento de halitose;;;
81000200;Diagnóstico e tratamento de estomatite por candidose;;;
81000197;Diagnóstico e tratamento de estomatite herpética;;;
81000189;Diagnóstico e planejamento para tratamento odontológico;;;
81000170;Diagnóstico anatomopatológico em punção na região buco-maxilo-facial;;;
81000154;Diagnóstico anatomopatológico em peça cirúrgica na região buco-maxilo-facial;;;
81000138;Diagnóstico anatomopatológico em material de biópsia na região buco-maxilo-facial;;;
81000111;Diagnóstico anatomopatológico em citologia esfoliativa na região buco-maxilo-facial;;;
81000090;Consulta para Técnica de Clareamento Dentário Caseiro;;;
81000073;Consulta odontológica para avaliação técnica de auditoria  ;;;
81000065;Consulta odontológica inicial;;;
81000057;Consulta odontológica de Urgência 24 hs;;;
81000049;Consulta odontológica de Urgência;;;
81000030;Consulta odontológica ;;;
81000014;Condicionamento em Odontologia;;;
41501330;Paquimetria ultrassônica - monocular - indicação específica;;;
41501322;Angiotomografia ocular (ATO);;;
41501314;Angiografia de grande angular (AGA);;;
41501306;Perfusão pulmonar por tomografia por impedância elétrica;;;
41501292;Titulação da PEEP decremental orientada por tomografia por impedância elétrica;;;
41501284;Tomografia por impedância elétrica do tórax;;;
41501276;Biometria óptica ;;;
41501268;Pressão arterial peniana;;;
41501250;Pressão intra abdominal urológica;;;
41501241;Perfil de pressão uretral;;;
41501233;Oximetria venosa, perfil;;;
41501225;Oximetria arterial, perfil;;;
41501217;Injeção intracavernosa;;;
41501209;Medida de pressão hepática;;;
41501195;Pletismografia (qualquer tipo) por lateralidade ou território;;;
41501187;Medida de pressão segmentar (nos quatro segmentos);;;
41501179;Fotopletismografia (venosa ou arterial) por lateralidade ou segmento;;;
41501144;Tomografia de coerência óptica - monocular;;;
41501136;Termometria cutânea (por lateralidade: pescoço, membros, bolsa escrotal, por território peniano);;;
41501128;Paquimetria ultrassônica - monocular;;;
41501110;Medida de índice de artelhos com registro gráfico;;;
41501101;Investigação ultrassônica sem registro gráfico (qualquer área);;;
41501098;Investigação ultrassônica com teste de stress em esteira e com registro gráfico;;;
41501080;Investigação ultrassônica com teste de stress e sem registro gráfico;;;
41501071;Investigação ultrassônica com teste de stress e com registro gráfico;;;
41501063;Investigação ultrassônica com registro gráfico (qualquer área);;;
41501047;Dopplermetria dos cordões espermáticos;;;
41501020;Cavernosometria;;;
41501012;Biometria ultrassônica - monocular;;;
41401808;TESTE DE CONTATO BATERIA AGENTES OCUPACIONAIS;;;
41401794;TESTE DE CONTATO BATERIA MEDICAMENTOS/CORTICOIDES;;;
41401786;TESTE DE CONTATO BATERIA UNHAS;;;
41401778;TESTE DE CONTATO BATERIA CAPILAR;;;
41401760;TESTE DE CONTATO BATERIA REGIONAL;;;
41401751;TESTE DE CONTATO BATERIA COSMÉTICOS;;;
41401743;Teste de integridade do implante coclear unilateral;;;
41401719;Teste rápido para detecção da PAMG-1 para diagnóstico de ruptura de membranas fetais;;;
41401700;Teste de Wada;;;
41401697;Estudo da halitose;;;
41401689;Metabolismo de repouso;;;
41401670;Teste de fibronectina fetal - indicador bioquímico para parto prematuro;;;
41401662;"Teste de estimulação muscúlo-esquelética \in vitro\"" (mínimo seis)""";;;
41401654;Teste de fluxo salivar;;;
41401646;Testes cutâneos de contato (patch tests);;;
41401638;Teste suplementar de sensibilidade;;;
41401620;Teste sensibilidade ao sal;;;
41401611;Teste de Wepmann;;;
41401603;Teste de Teller - binocular;;;
41401590;Teste de imagens;;;
41401581;Teste de Heald;;;
41401573;Estudo cito-alergológico (ECA);;;
41401557;Repertorização;;;
41401549;Teste de monitorização contínua da glicose (TMCG);;;
